# Shared test vectors. Both implementations must reproduce every row.
#
# Tab-separated. Lines starting with '#' are comments; blank lines are ignored.
#
# name       a label, for test output
# format     the format string
# base       output base
# precision  -1 minute, 0 second, 1 millisecond (the CLI default is 0)
# clock_ms   the injected clock, in milliseconds since the Unix epoch UTC
# env        injected state and options, '-' for none (see below)
# expected   the identifier
#
# The clock is always injected in milliseconds; coarser precisions truncate
# toward zero, and the truncation rows below pin that down.
#
# The env column is a comma-separated list of key=value pairs. Unset keys take
# the defaults shown, so a row only states what it cares about:
#
#   host=testhost                 %h, the short host name
#   user=testuser                 %u, the user name
#   fqdn=testhost.example.com     %f, the fully-qualified name
#   mac=02005E100000              %m, 48 bits of hex, no separators
#   rand=                         the random stream %g and %r draw from, hex
#   nohash=0                      1 turns hashing off for %h %u %f
#   hashchars=                    symbols kept from a hashed component; unset
#                                 means the derived default for the base
#   randchars=                    symbols %r emits; unset likewise
#
# Component rules, in full, because the vectors are the spec:
#
#   %d  the clock as the precision's unit count since the Unix epoch UTC
#   %h  %u  %f  SHA-256 of the raw name, hex uppercase, converted from base 16;
#       the rightmost hashchars symbols. With nohash=1 the name goes out
#       literally instead, unconverted and unpadded.
#   %m  the MAC as a 48-bit number, converted from base 16
#   %g  16 bytes drawn from the random stream with the UUID v4 version and
#       variant bits forced, converted from base 16 as a 128-bit number
#   %r  enough bytes drawn from the random stream to fill randchars symbols,
#       converted from base 16; the rightmost randchars symbols. One byte per
#       symbol covers any base up to 256 symbols; above that a symbol carries
#       more than eight bits, so the draw is ceil(randchars * bits / 8) instead
#       and the leading symbol still varies.
#
# %g and %r draw from the stream in the order they appear in the format.
#
# Output is zero-padded to a fixed width per component, chosen to hold that
# component's largest value: the horizon year 3000 for %d, 48 bits for %m, 128
# bits for %g. Padding uses each alphabet's zero digit, which for 32w is '2'
# rather than '0'.
#
# A hashed or random component is sized the same way, from a target strength
# rather than a value: 47 bits for %h %u %f and 35 for %r, which is what eight
# and six base-62 symbols have always carried. So the width follows the base -
# 12 and 9 symbols in base 16, 5 and 4 in 2048tz - and the strength does not.
# hashchars and randchars override it.
#
# A hashed component cannot be wider than a SHA-256 fills in the base, since
# past that point it is only left-fill: 64 symbols in base 16 down to 24 in
# 2048tz. Asking for more is an error rather than a longer identifier carrying
# no more fingerprint.
#
# Fixed width is what makes byte-order sort match chronological order, and it
# also lets a multi-component identifier be split by offset. Identifiers of
# different precisions have different widths and do not sort against each
# other - same caveat as mixing bases.
#
# Width is counted in symbols throughout, never in bytes. The wide bases at the
# end of this file, 64tt and up, have digits of two to four bytes each, so
# every padded and every truncated component there also pins down that the cut
# falls on a symbol boundary rather than mid-digit.
#
# name	format	base	precision	clock_ms	env	expected
time-s-horizon-eve	%d	32w	0	32503679999999	-	wCfvWxx
time-s-horizon-eve	%d	36	0	32503679999999	-	EXJUNZZ
time-s-horizon-eve	%d	62	0	32503679999999	-	ZTi7zD
time-min-epoch	%d	16	-1	0	-	00000000
time-min-epoch	%d	32w	-1	0	-	222222
time-min-epoch	%d	36	-1	0	-	000000
time-min-epoch	%d	62	-1	0	-	00000
time-min-epoch+59.999s	%d	16	-1	59999	-	00000000
time-min-epoch+59.999s	%d	32w	-1	59999	-	222222
time-min-epoch+59.999s	%d	36	-1	59999	-	000000
time-min-epoch+59.999s	%d	62	-1	59999	-	00000
time-min-epoch+1min	%d	16	-1	60000	-	00000001
time-min-epoch+1min	%d	32w	-1	60000	-	222223
time-min-epoch+1min	%d	36	-1	60000	-	000001
time-min-epoch+1min	%d	62	-1	60000	-	00001
time-min-y2k	%d	16	-1	946684800000	-	00F0C120
time-min-y2k	%d	32w	-1	946684800000	-	2Q3RF2
time-min-y2k	%d	36	-1	946684800000	-	09E6G0
time-min-y2k	%d	62	-1	946684800000	-	14CbA
time-min-design-date	%d	16	-1	1785585600000	-	01C61910
time-min-design-date	%d	32w	-1	1785585600000	-	2rJ8CR
time-min-design-date	%d	36	-1	1785585600000	-	0HPUS0
time-min-design-date	%d	62	-1	1785585600000	-	20rs8
time-min-horizon-eve	%d	16	-1	32503679999999	-	204A1CFF
time-min-horizon-eve	%d	32w	-1	32503679999999	-	R6c99x
time-min-horizon-eve	%d	36	-1	32503679999999	-	8YJ3ZZ
time-min-horizon-eve	%d	62	-1	32503679999999	-	af2CN

# Hashed components: SHA-256 of the name, converted from base 16, rightmost
# hash_chars symbols. These rows take the derived default, so they also pin
# the width each base gets: 12, 10, 10, 8.
hash-host	%h	16	0	0	-	07148654C5D9
hash-host	%h	32w	0	0	-	C94W57FVPm
hash-host	%h	36	0	0	-	ZWA36QQJ89
hash-host	%h	62	0	0	-	rw79Mr05
hash-user	%u	16	0	0	-	81FD2C1D6684
hash-user	%u	32w	0	0	-	c3xcg3pmc6
hash-user	%u	36	0	0	-	GTMWV46CUC
hash-user	%u	62	0	0	-	6UI3mO4y
hash-fqdn	%f	16	0	0	-	13A7E0569E14
hash-fqdn	%f	32w	0	0	-	2XcxR7M9Rc
hash-fqdn	%f	36	0	0	-	H2D8C0LBMC
hash-fqdn	%f	62	0	0	-	M6O3MdAC

# hash_chars is configurable. 43 is the full width of a SHA-256 in base 62,
# so that row also covers a hash that renders short and needs left-filling.
hash-chars-5	%h	62	0	0	hashchars=5	9Mr05
hash-chars-1	%h	62	0	0	hashchars=1	5
hash-chars-43	%h	62	0	0	hashchars=43	I1s24JgnJYwj3VQdgiWY53QAolAYPMH8stdrw79Mr05
hash-chars-64	%u	16	0	0	hashchars=64	AE5DEB822E0D71992900471A7199D0D95B8E7C9D05C40A8245A281FD2C1D6684

# Hashing off: the name goes out literally, unconverted and unpadded.
nohash-host	%h	62	0	0	nohash=1	testhost
nohash-user	%u	62	0	0	nohash=1	testuser
nohash-fqdn	%f	62	0	0	nohash=1	testhost.example.com

# MAC: 48 bits, so the width holds any address. The low row is the padding case.
mac	%m	16	0	0	-	02005E100000
mac	%m	32w	0	0	-	2423Q32222
mac	%m	36	0	0	-	00S2XX8EF4
mac	%m	62	0	0	-	00ck3P3Jo
mac-low	%m	62	0	0	mac=000000000001	000000001
mac-high	%m	62	0	0	mac=FFFFFFFFFFFF	1HvWXNAa7

# UUID v4: 16 bytes drawn from the random source, version and variant bits
# forced, then converted as a 128-bit number. The zero row shows those bits.
uuid	%g	16	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	0F1E2D3C4B5A49788796A5B4C3D2E1F0
uuid	%g	32w	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	2Q5jgXjWppF7rCQ7f7gX3v7jQR
uuid	%g	36	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	0W7XTFJF7ZEINQR3R4H97LZHS
uuid	%g	62	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	0SWftNEX5hXfaeOnU4YWmW
uuid-zero-draw	%g	16	0	0	rand=00000000000000000000000000000000	00000000000040008000000000000000
uuid-zero-draw	%g	62	0	0	rand=00000000000000000000000000000000	000000001VgEh72lXvTXkG

# Random: enough bytes drawn to fill the symbols, rightmost random_chars kept.
# These rows take the derived default too: 9, 7, 7, 6 symbols.
random	%r	16	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	5F6071829
random	%r	32w	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	QGPHvR9
random	%r	36	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	IMG6807
random	%r	62	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	4pQFxG
random-chars-4	%r	62	0	0	rand=A1B2C3D4,randchars=4	apVs
random-chars-12	%r	62	0	0	rand=0F1E2D3C4B5A69788796A5B4,randchars=12	aTKq6oAW1Age
random-zero-draw	%r	62	0	0	rand=000000000000	000000

# Composites: components render in format order, and %g then %r draw from the
# same stream in that order.
composite-time-random	%d%r	62	0	1785585600000	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	1wq8Nk4pQFxG
composite-literals	%d-%h-%r	62	0	1785585600000	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	1wq8Nk-rw79Mr05-4pQFxG
composite-uuid-then-random	%g%r	62	0	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	0SWftNEX5hXfaeOnU4YWmW4pQFxG
composite-all	%d%h%u%f%m%g%r	62	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	0VR2tCvwrw79Mr056UI3mO4yM6O3MdAC00ck3P3Jo0SWftNEX5hXfaeOnU4YWmW4pQFxG
composite-all	%d%h%u%f%m%g%r	32w	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	3XwwX63R2C94W57FVPmc3xcg3pmc62XcxR7M9Rc2423Q322222Q5jgXjWppF7rCQ7f7gX3v7jQRQGPHvR9

# The wide bases. Same components, digits of two to four bytes each.
time-ms-design-date	%d	64tt	1	1785585600000	-	0P¢zCWO0
time-ms-design-date	%d	128tt	1	1785585600000	-	0pΩɷµC0
time-ms-design-date	%d	256tt	1	1785585600000	-	1իฆo60
time-ms-design-date	%d	512tt	1	1785585600000	-	P𐇶ᴖካ0
time-ms-design-date	%d	1024tz	1	1785585600000	-	1伩傍ξ亣
time-ms-design-date	%d	2048tz	1	1785585600000	-	0อ吡卓匇
time-s-epoch	%d	64tt	0	0	-	000000
time-s-epoch	%d	128tt	0	0	-	00000
time-s-epoch	%d	256tt	0	0	-	00000
time-s-epoch	%d	512tt	0	0	-	0000
time-s-epoch	%d	1024tz	0	0	-	0000
time-s-epoch	%d	2048tz	0	0	-	0000
time-s-design-date	%d	64tt	0	1785585600000	-	1gRT£0
time-s-design-date	%d	128tt	0	1785585600000	-	6þt£¤
time-s-design-date	%d	256tt	0	1785585600000	-	0ɸʇკฉ
time-s-design-date	%d	512tt	0	1785585600000	-	Dԋჰ𐀛
time-s-design-date	%d	1024tz	0	1785585600000	-	1佑倯偹
time-s-design-date	%d	2048tz	0	1785585600000	-	0主劸𐃃
time-s-horizon-eve	%d	64tt	0	32503679999999	-	UHNil£
time-s-horizon-eve	%d	128tt	0	32503679999999	-	ͽAΩNθ
time-s-horizon-eve	%d	256tt	0	32503679999999	-	7϶ȹศባ
time-s-horizon-eve	%d	512tt	0	32503679999999	-	ჶƱ↋𐊄
time-s-horizon-eve	%d	1024tz	0	32503679999999	-	Uᚣ偫傺
time-s-horizon-eve	%d	2048tz	0	32503679999999	-	3単傓傺
time-min-design-date	%d	64tt	-1	1785585600000	-	1nXaG
time-min-design-date	%d	128tt	-1	1785585600000	-	0EOoG
time-min-design-date	%d	256tt	-1	1785585600000	-	1รPG
time-min-design-date	%d	512tt	-1	1785585600000	-	0ʎጌጻ
time-min-design-date	%d	1024tz	-1	1785585600000	-	S上ጻ
time-min-design-date	%d	2048tz	-1	1785585600000	-	7ทጻ
hash-host	%h	64tt	0	0	-	1nI6LCNP
hash-host	%h	128tt	0	0	-	¥ɔµoþBƹ
hash-host	%h	256tt	0	0	-	7Kϑŋปბ
hash-host	%h	512tt	0	0	-	ዞʎϱｹɔ𐃢
hash-host	%h	1024tz	0	0	-	ዛøɞᛝ乶
hash-host	%h	2048tz	0	0	-	匙偃亿佃務
hash-user	%u	64tt	0	0	-	WVqi7MQ4
hash-user	%u	128tt	0	0	-	W£øɐʭÞ4
hash-user	%u	256tt	0	0	-	ξርiTɤψ
hash-user	%u	512tt	0	0	-	ᚢVﾗዛ୧ψ
hash-user	%u	1024tz	0	0	-	伬傯佭倏伯
hash-user	%u	2048tz	0	0	-	仒ስ兼健厣
hash-fqdn	%f	64tt	0	0	-	4wVWLfuK
hash-fqdn	%f	128tt	0	0	-	4ʬζ2ƾyK
hash-fqdn	%f	256tt	0	0	-	JրჟƨժK
hash-fqdn	%f	512tt	0	0	-	ꓕᛪሬLᴚK
hash-fqdn	%f	1024tz	0	0	-	J佊亨丵亸
hash-fqdn	%f	2048tz	0	0	-	侳乯ｼ侂匞
mac	%m	64tt	0	0	-	0W1U4000
mac	%m	128tt	0	0	-	0¤5ʌ¤00
mac	%m	256tt	0	0	-	20ȹG00
mac	%m	512tt	0	0	-	0WBꓤ00
mac	%m	1024tz	0	0	-	21乾00
mac	%m	2048tz	0	0	-	0ቦ⟅亣0
uuid	%g	64tt	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	0F7YqyIrf9U8UMfRJ3qk7m
uuid	%g	128tt	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	0UUMæ9røbʎ7¿fsØU¿©ʌ
uuid	%g	256tt	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	FUjy¿ƾ·ͼϖ҂չ୫ทะრჲ
uuid	%g	512tt	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	0ͼ𐇒ﾚፀﾺ·ჵU୬ǂԃჹ⊲𐇪
uuid	%g	1024tz	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	Fͼ侂俆倐ᛆ偁亄佐侂zవ互
uuid	%g	2048tz	0	0	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0	7儶劢儉侁伉ጓ∂侊促伇互
random	%r	64tt	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	B3rENs
random	%r	128tt	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	RMFfɞ
random	%r	256tt	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	ձଌท๑ფ
random	%r	512tt	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	s७𐇠ფ
random	%r	1024tz	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	伱俠ჺფ
random	%r	2048tz	0	0	rand=A1B2C3D4E5F60718293A4B5C6D7E8F90	ბ促佇勻
composite-all	%d%h%u%f%m%g%r	64tt	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	0P¢zCWO01nI6LCNPWVqi7MQ44wVWLfuK0W1U40000F7YqyIrf9U8UMfRJ3qk7mB3rENs
composite-all	%d%h%u%f%m%g%r	128tt	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	0pΩɷµC0¥ɔµoþBƹW£øɐʭÞ44ʬζ2ƾyK0¤5ʌ¤000UUMæ9røbʎ7¿fsØU¿©ʌRMFfɞ
composite-all	%d%h%u%f%m%g%r	256tt	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	1իฆo607KϑŋปბξርiTɤψJրჟƨժK20ȹG00FUjy¿ƾ·ͼϖ҂չ୫ทะრჲձଌท๑ფ
composite-all	%d%h%u%f%m%g%r	512tt	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	P𐇶ᴖካ0ዞʎϱｹɔ𐃢ᚢVﾗዛ୧ψꓕᛪሬLᴚK0WBꓤ000ͼ𐇒ﾚፀﾺ·ჵU୬ǂԃჹ⊲𐇪s७𐇠ფ
composite-all	%d%h%u%f%m%g%r	1024tz	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	1伩傍ξ亣ዛøɞᛝ乶伬傯佭倏伯J佊亨丵亸21乾00Fͼ侂俆倐ᛆ偁亄佐侂zవ互伱俠ჺფ
composite-all	%d%h%u%f%m%g%r	2048tz	1	1785585600000	rand=0F1E2D3C4B5A69788796A5B4C3D2E1F0A1B2C3D4E5F60718293A4B5C6D7E8F90	0อ吡卓匇匙偃亿佃務仒ስ兼健厣侳乯ｼ侂匞0ቦ⟅亣07儶劢儉侁伉ጓ∂侊促伇互ბ促佇勻

# The digest ceiling: a hashed component cannot be wider than a SHA-256
# fills in the base, and these rows sit exactly on it.
hash-host-digest-ceiling	%h	512tt	0	0	hashchars=29	4ꓘvᴚ𐇝ᛶᴝE𐇻𐂘𐂊ጾᛶϣᚻ𐂇ᛯϧห⦠𐊁mʞዞʎϱｹɔ𐃢
hash-host-digest-ceiling	%h	1024tz	0	0	hashchars=26	J8偓亡予倊7亝偒俒ϥ傟⊳偱倅°佼侬傳七俬ዛøɞᛝ乶
hash-host-digest-ceiling	%h	2048tz	0	0	hashchars=24	2侴乩亡傉刽x𐂦俬ﾄ厛儚傖倅ϧ修𐇰ﾁv匙偃亿佃務
